who,origin_lat,origin_lng,destination_lat,destination_lng,age,gender,index,count,lng,lat,id,cluster,ori_cluster,dest_cluster,fnid_o,fnid_d,similarity
35798530,22.50565173,113.9191966,22.50089007,113.9245528,9,1,13172,46,113.9218747,22.5032709,54,54,115,285,9351.0,8639.0,0.059105746561956225
38348640,22.50565173,113.9191966,22.50089007,113.9245528,4,1,13172,46,113.9218747,22.5032709,54,54,115,285,9351.0,8639.0,0.059105746561956225
38348640,22.50565173,113.9191966,22.50089007,113.9245528,4,1,13172,46,113.9218747,22.5032709,54,54,115,285,9351.0,8639.0,0.059105746561956225
38348640,22.50565173,113.9191966,22.50089007,113.9245528,4,1,13172,46,113.9218747,22.5032709,54,54,115,285,9351.0,8639.0,0.059105746561956225
38632316,22.50565173,113.9191966,22.50089007,113.9245528,9,1,13172,46,113.9218747,22.5032709,54,54,115,285,9351.0,8639.0,0.059105746561956225
40174137,22.50565173,113.9191966,22.50089007,113.9245528,8,1,13172,46,113.9218747,22.5032709,54,54,115,285,9351.0,8639.0,0.059105746561956225
42180761,22.50565173,113.9191966,22.50089007,113.9245528,8,2,13172,46,113.9218747,22.5032709,54,54,116,286,9351.0,8639.0,0.059105746561956225
45104009,22.50565173,113.9191966,22.50089007,113.9245528,9,2,13172,46,113.9218747,22.5032709,54,54,116,286,9351.0,8639.0,0.059105746561956225
47674820,22.50565173,113.9191966,22.50089007,113.9245528,11,1,13172,46,113.9218747,22.5032709,54,54,115,285,9351.0,8639.0,0.059105746561956225
52378899,22.50565173,113.9191966,22.50089007,113.9245528,6,1,13172,46,113.9218747,22.5032709,54,54,115,285,9351.0,8639.0,0.059105746561956225
54092870,22.50565173,113.9191966,22.50089007,113.9245528,7,2,13172,46,113.9218747,22.5032709,54,54,116,286,9351.0,8639.0,0.059105746561956225
56284679,22.50565173,113.9191966,22.50089007,113.9245528,5,1,13172,46,113.9218747,22.5032709,54,54,115,285,9351.0,8639.0,0.059105746561956225
56581007,22.50565173,113.9191966,22.50089007,113.9245528,10,1,13172,46,113.9218747,22.5032709,54,54,115,285,9351.0,8639.0,0.059105746561956225
56581007,22.50565173,113.9191966,22.50089007,113.9245528,10,1,13172,46,113.9218747,22.5032709,54,54,115,285,9351.0,8639.0,0.059105746561956225
56581007,22.50565173,113.9191966,22.50089007,113.9245528,10,1,13172,46,113.9218747,22.5032709,54,54,115,285,9351.0,8639.0,0.059105746561956225
56581007,22.50565173,113.9191966,22.50089007,113.9245528,10,1,13172,46,113.9218747,22.5032709,54,54,115,285,9351.0,8639.0,0.059105746561956225
57196649,22.50565173,113.9191966,22.50089007,113.9245528,13,1,13172,46,113.9218747,22.5032709,54,54,115,285,9351.0,8639.0,0.059105746561956225
57335262,22.50565173,113.9191966,22.50089007,113.9245528,9,1,13172,46,113.9218747,22.5032709,54,54,115,285,9351.0,8639.0,0.059105746561956225
58342370,22.50565173,113.9191966,22.50089007,113.9245528,8,1,13172,46,113.9218747,22.5032709,54,54,115,285,9351.0,8639.0,0.059105746561956225
60362422,22.50565173,113.9191966,22.50089007,113.9245528,5,1,13172,46,113.9218747,22.5032709,54,54,115,285,9351.0,8639.0,0.059105746561956225
64014704,22.50565173,113.9191966,22.50089007,113.9245528,11,1,13172,46,113.9218747,22.5032709,54,54,115,285,9351.0,8639.0,0.059105746561956225
64060367,22.50565173,113.9191966,22.50089007,113.9245528,13,1,13172,46,113.9218747,22.5032709,54,54,115,285,9351.0,8639.0,0.059105746561956225
65594256,22.50565173,113.9191966,22.50089007,113.9245528,12,2,13172,46,113.9218747,22.5032709,54,54,116,286,9351.0,8639.0,0.059105746561956225
65594256,22.50565173,113.9191966,22.50089007,113.9245528,12,2,13172,46,113.9218747,22.5032709,54,54,116,286,9351.0,8639.0,0.059105746561956225
67081356,22.50565173,113.9191966,22.50089007,113.9245528,11,1,13172,46,113.9218747,22.5032709,54,54,115,285,9351.0,8639.0,0.059105746561956225
67081356,22.50565173,113.9191966,22.50089007,113.9245528,11,1,13172,46,113.9218747,22.5032709,54,54,115,285,9351.0,8639.0,0.059105746561956225
72012281,22.50565173,113.9191966,22.50089007,113.9245528,8,1,13172,46,113.9218747,22.5032709,54,54,115,285,9351.0,8639.0,0.059105746561956225
73355773,22.50565173,113.9191966,22.50089007,113.9245528,10,1,13172,46,113.9218747,22.5032709,54,54,115,285,9351.0,8639.0,0.059105746561956225
75101999,22.50565173,113.9191966,22.50089007,113.9245528,7,2,13172,46,113.9218747,22.5032709,54,54,116,286,9351.0,8639.0,0.059105746561956225
75577574,22.50565173,113.9191966,22.50089007,113.9245528,8,2,13172,46,113.9218747,22.5032709,54,54,116,286,9351.0,8639.0,0.059105746561956225
76526559,22.50565173,113.9191966,22.50089007,113.9245528,8,1,13172,46,113.9218747,22.5032709,54,54,115,285,9351.0,8639.0,0.059105746561956225
56452,22.48688912,113.9095947,22.49104785,113.9254487,8,1,2196,2,113.9175217,22.488968485,13675,397,165,321,6134.0,6855.0,0.0006891098337480863
